item_id,order_id,product_id,quantity,unit_price,discount_percent
1,154,490,1,644.37,10
2,353,331,3,501.56,0
3,247,290,4,141.23,0
4,9,433,2,324.85,0
5,185,215,1,844.26,30
6,100,393,5,388.08,30
7,433,351,3,455.34,15
8,266,145,3,274.25,0
9,114,426,5,196.15,30
10,360,388,1,167.4,0
11,160,354,5,694.49,15
12,382,418,2,548.7,10
13,41,218,1,1039.38,25
14,56,17,1,459.74,10
15,6,387,5,215.41,5
16,47,75,5,205.59,0
17,314,124,5,292.45,30
18,145,88,1,1133.61,30
19,358,302,1,17.04,15
20,264,117,3,518.83,0
21,185,361,1,114.85,0
22,377,160,2,439.35,10
23,439,36,3,763.21,25
24,268,338,4,963.61,0
25,87,34,2,338.06,20
26,372,256,5,649.65,20
27,487,208,2,1015.02,0
28,119,322,-1,698.22,0
29,92,196,3,114.67,0
30,267,393,3,354.1,25
31,415,441,-1,237.38,20
32,231,162,1,388.51,30
33,453,362,3,568.28,25
34,252,338,4,889.67,0
35,254,303,3,1168.53,10
36,24,66,5,457.56,15
37,183,211,2,527.3,10
38,34,445,1,543.51,0
39,291,264,4,934.31,15
40,294,51,2,811.62,30
41,86,315,2,214.82,0
42,148,136,4,268.16,0
43,304,173,5,545.07,5
44,422,155,5,648.39,20
45,233,344,1,755.53,30
46,110,339,4,342.17,30
47,465,223,1,526.67,15
48,383,351,4,446.26,0
49,137,422,5,317.29,5
50,126,409,5,1008.73,20
51,82,140,3,536.0,0
52,370,249,1,565.73,10
53,209,460,1,708.26,0
54,257,478,5,402.15,30
55,122,308,3,497.83,20
56,479,217,2,120.6,25
57,29,252,1,220.22,20
58,143,451,4,1109.16,10
59,311,18,1,701.36,5
60,328,491,1,702.75,5
61,466,492,3,769.58,5
62,83,469,4,636.07,10
63,482,252,3,210.78,0
64,260,34,5,334.95,25
65,329,329,0,299.24,5
66,43,57,2,365.05,20
67,245,448,5,869.88,10
68,94,202,5,207.96,0
69,321,118,2,437.91,0
70,308,134,2,177.77,0
71,396,472,4,921.72,5
72,401,137,2,86.49,5
73,145,373,4,844.93,0
74,317,231,4,775.13,25
75,355,204,4,321.01,10
76,27,171,3,647.07,0
77,196,155,2,863.14,30
78,87,258,4,88.46,15
79,134,60,4,401.76,10
80,145,463,3,873.72,20
81,252,392,4,895.2,0
82,241,134,1,180.14,25
83,364,288,2,622.79,0
84,428,87,5,1038.59,5
85,270,393,1,373.76,25
86,14,146,4,399.1,0
87,42,236,4,806.72,10
89,409,29,5,600.78,20
90,395,444,-2,50.84,0
91,332,386,3,1158.41,20
92,463,351,1,403.44,30
93,199,244,1,399.43,15
94,219,48,4,506.84,0
95,332,269,1,186.84,25
96,351,463,4,593.87,0
97,263,56,4,674.64,10
98,394,258,4,58.69,0
99,214,449,4,404.86,25
100,495,471,2,327.52,10
101,274,10,2,237.16,25
102,495,382,5,952.63,15
103,346,203,2,173.48,0
104,97,440,2,509.55,20
105,276,98,2,476.15,0
106,379,360,1,493.79,5
107,427,201,-4,460.64,20
108,306,375,4,28.54,30
109,348,464,1,382.23,20
110,138,458,1,45.92,15
111,83,148,4,607.59,5
112,472,309,4,1068.58,10
113,214,427,3,342.52,0
114,384,45,2,666.7,25
115,253,156,1,418.85,10
116,424,441,1,294.78,0
117,115,250,3,323.52,30
118,354,448,1,754.58,25
119,387,57,5,640.92,0
120,54,86,3,686.29,10
121,256,376,3,720.48,0
122,497,213,-4,625.04,15
123,137,191,2,298.81,30
124,411,220,4,317.9,30
125,16,227,-5,65.99,0
126,396,85,1,498.31,0
127,324,366,3,873.98,30
128,161,466,5,166.88,0
129,106,455,4,732.41,20
130,44,19,2,231.3,30
131,283,160,2,394.14,30
132,397,156,1,596.76,15
133,64,25,4,771.88,0
134,413,382,5,1194.45,5
135,402,418,4,862.78,5
136,99,422,2,446.16,20
137,455,67,3,188.33,20
138,203,447,4,502.1,25
139,84,74,4,612.09,30
140,109,234,5,599.74,0
141,62,190,2,600.21,10
142,249,15,5,57.88,10
143,420,379,3,791.13,0
144,290,232,4,659.44,0
145,236,390,3,243.25,20
146,174,277,4,104.8,0
147,293,323,5,901.04,30
148,278,296,5,561.98,25
149,338,480,3,567.8,5
150,297,228,3,301.82,0
151,175,224,-5,369.83,15
152,51,278,3,307.5,0
153,87,31,1,130.06,10
154,212,458,1,36.45,5
155,253,261,1,625.53,15
156,248,15,1,44.92,0
157,403,65,1,500.34,30
158,192,277,5,206.41,30
160,349,195,2,203.27,30
161,274,289,1,111.33,30
162,108,313,3,698.22,25
163,165,175,3,391.44,0
165,404,449,1,391.11,25
166,417,193,2,671.36,0
167,99,228,3,279.27,15
168,321,156,4,626.39,0
169,362,311,4,107.32,10
170,283,100,5,200.06,0
171,66,133,5,565.25,10
172,497,355,5,485.28,0
173,483,333,4,616.5,20
174,239,254,2,229.8,20
175,201,100,1,158.97,5
176,39,470,3,752.41,0
177,13,304,3,565.85,25
178,28,421,1,747.43,25
179,297,64,1,54.28,0
180,411,227,4,60.38,0
181,196,206,2,95.46,0
182,220,451,1,1002.58,15
183,7,305,2,97.43,0
184,216,247,2,488.91,0
185,224,263,3,635.51,30
186,159,309,1,761.48,0
187,428,287,2,354.7,5
188,342,244,5,542.34,15
189,84,54,1,53.81,0
190,239,320,3,709.54,20
191,4,186,5,457.7,10
192,468,392,2,613.16,0
193,90,174,2,121.26,10
194,347,71,1,433.51,5
195,415,191,5,288.9,0
196,67,407,3,89.95,20
197,24,391,5,789.47,0
198,408,144,5,65.86,5
199,405,340,4,772.19,30
200,92,165,4,847.33,25
201,327,472,2,853.19,5
202,112,157,2,571.53,15
203,385,44,2,449.72,25
204,231,240,4,542.07,20
205,136,331,3,429.04,30
206,142,475,3,711.05,5
207,129,155,3,757.64,0
208,379,279,-3,1113.59,10
209,207,485,1,564.92,30
210,444,204,2,229.43,30
211,240,370,1,1119.89,5
212,214,108,1,427.24,0
213,256,415,2,250.15,20
214,154,167,1,82.04,0
215,291,323,5,902.61,20
216,274,198,5,315.45,10
217,284,91,4,461.58,5
218,146,106,1,644.45,15
219,441,466,1,175.67,20
220,490,463,2,868.26,25
221,159,301,4,698.92,0
222,423,205,3,252.38,25
223,378,47,4,433.02,10
224,436,90,5,472.47,25
225,358,292,1,393.07,0
226,150,342,2,436.03,20
227,189,40,3,254.44,0
228,237,14,4,466.57,20
229,6,129,3,601.98,25
230,281,337,2,105.59,10
231,10,311,5,97.03,0
232,347,140,2,544.63,30
233,429,326,1,640.59,10
234,25,396,2,226.98,5
235,15,8,1,641.41,0
236,86,371,1,230.16,15
237,107,479,1,290.6,0
238,206,335,4,604.51,10
239,35,454,5,706.94,0
240,473,436,1,691.09,20
241,356,69,3,128.46,25
242,467,300,2,510.73,0
243,460,64,2,66.3,0
244,104,78,2,351.44,25
245,143,163,5,670.13,20
246,13,118,2,423.57,0
247,128,411,5,288.78,30
248,4,34,2,471.04,0
249,89,304,2,484.15,0
250,85,370,5,722.29,10
251,104,140,3,903.28,0
252,313,377,4,810.84,20
253,465,472,5,609.04,10
254,146,193,3,569.6,25
255,3,7,3,876.74,20
256,192,197,5,701.27,0
257,478,290,3,112.79,15
258,353,189,4,466.05,5
259,186,324,-2,498.32,10
260,76,131,2,755.43,0
261,204,362,5,788.86,20
262,355,155,4,646.57,20
263,446,46,3,283.46,10
264,204,358,0,361.37,0
265,214,336,2,315.28,0
266,486,57,2,463.95,0
267,462,447,5,563.49,0
268,64,142,-2,563.15,25
269,5,32,5,385.77,0
270,4,193,3,585.26,25
271,173,190,3,644.41,15
272,30,500,0,384.27,20
273,72,14,3,714.17,5
274,338,446,0,787.07,15
275,24,497,4,25.45,25
276,42,179,4,336.68,0
277,100,365,5,225.71,30
278,45,155,4,797.21,25
279,277,124,1,238.89,0
280,463,197,3,838.66,0
281,325,372,3,329.43,0
282,368,381,5,156.45,20
283,60,149,5,172.42,0
284,161,489,3,406.33,30
285,217,164,2,543.77,5
287,383,341,1,524.22,10
288,141,435,2,919.97,20
289,79,424,2,168.56,0
290,439,250,2,452.17,30
291,243,179,5,418.87,10
292,439,281,5,538.68,0
293,235,336,4,282.84,0
294,101,377,5,941.03,0
295,348,431,3,352.33,0
296,264,333,2,797.74,20
297,204,251,2,453.94,20
298,344,338,4,610.05,25
299,43,63,5,55.67,25
300,407,304,4,363.19,0
301,466,442,1,973.69,30
302,33,266,1,376.29,5
303,93,442,5,862.55,15
304,106,335,1,528.89,0
305,279,88,1,836.27,0
306,401,151,5,394.31,15
307,181,311,1,138.52,0
308,154,439,5,68.54,15
309,217,39,2,297.83,0
310,482,356,3,277.96,5
311,332,421,2,853.21,20
312,127,40,5,180.88,15
313,171,399,2,480.18,0
314,194,488,2,282.4,10
315,49,271,3,383.51,0
316,485,385,5,257.31,20
317,5,352,2,78.66,10
318,499,190,5,654.71,25
319,409,240,4,569.95,5
320,486,157,1,563.69,0
321,85,295,5,421.79,0
322,261,478,5,637.25,30
323,316,98,4,865.3,15
324,487,472,5,869.48,0
325,346,477,2,411.7,15
326,488,27,3,72.89,15
327,277,436,3,782.42,10
328,292,202,5,131.81,0
329,435,250,-4,268.64,15
330,180,456,1,731.53,25
331,461,79,1,453.86,10
332,154,187,3,499.22,25
333,72,182,-2,998.72,0
334,203,216,2,160.13,25
335,61,216,2,135.65,20
336,432,423,1,782.83,0
337,393,351,3,306.45,0
338,249,43,2,640.16,0
339,443,135,4,1169.05,0
340,93,97,2,85.39,0
341,99,476,-2,9.79,0
342,269,157,2,688.18,25
343,27,156,3,373.75,5
344,21,1,2,418.71,10
345,95,130,3,834.34,0
346,67,170,5,535.13,15
347,300,197,5,501.55,5
348,51,39,3,377.09,5
349,66,99,5,731.66,15
350,467,224,5,332.03,0
351,67,149,2,165.22,20
352,263,498,5,436.17,20
353,95,2,1,252.58,30
354,269,133,3,373.4,0
355,150,21,3,384.26,10
356,128,422,3,297.08,15
357,453,282,5,545.28,0
358,183,113,3,1011.63,30
359,481,400,4,643.38,10
360,283,106,3,969.88,20
361,372,223,1,366.21,25
362,97,292,3,545.5,0
363,352,312,4,255.08,20
364,373,385,4,339.34,0
365,330,479,1,191.81,0
367,418,84,2,554.53,10
368,423,23,5,23.78,20
369,13,117,3,526.46,20
370,462,58,2,91.18,10
371,61,185,1,1022.44,0
372,93,348,3,491.14,10
373,470,256,1,856.84,0
374,76,200,4,19.78,0
375,143,75,2,117.79,15
376,356,499,3,73.26,5
377,276,274,2,128.16,20
378,416,384,0,606.16,0
