product_id,product_name,category,subcategory,cost_price
1,Raise Accessorie,Electronics,Accessories,330.27
2,Even Accessorie,Electronics,Accessories,179.39
3,Serious Furniture,Home,Furniture,343.92
4,Cultural Non-Fiction,Books,Non-Fiction,36.23
5,Address Fiction,Books,Fiction,26.68
6,Since Men,Clothing,Men,158.49
7,Green Education,Books,Education,377.88
8,Street Kid,Clothing,Kids,391.52
9,Find Decor,Home,Decor,187.17
10,Out Education,Books,Education,196.39
11,Represent Footwear,Clothing,Footwear,186.84
12,Sometimes Kitchen,Home,Kitchen,44.07
13,Data Kid,Clothing,Kids,44.63
14,Continue Decor,Home,Decor,360.24
15,Popular Footwear,Clothing,Footwear,25.97
16,Total Garden,Home,Garden,490.11
17,Purpose Phone,Electronics,Phones,206.07
18,Watch Men,Clothing,Men,305.75
19,Into Fiction,Books,Fiction,121.82
20,The Decor,Home,Decor,285.79
21,Late Footwear,Clothing,Footwear,189.15
22,Myself Laptop,Electronics,Laptops,202.03
23,Generation Furniture,Home,Furniture,17.83
24,Before Footwear,Clothing,Footwear,457.2
25,Institution Accessorie,Electronics,Accessories,353.5
26,Relationship Kid,Clothing,Kids,499.32
27,Beyond Men,Clothing,Men,41.66
28,Crime Footwear,Clothing,Footwear,406.2
29,Challenge Decor,Home,Decor,277.25
30,Me Decor,Home,Decor,357.35
31,Game Kid,Clothing,Kids,65.07
32,Would Women,Clothing,Women,249.54
33,Energy Decor,Home,Decor,491.59
34,According Men,Clothing,Men,202.09
35,Every Education,Books,Education,412.55
36,Identify Laptop,Electronics,Laptops,322.96
37,Eat Education,Books,Education,175.53
38,Likely Women,Clothing,Women,455.8
39,Some Phone,Electronics,Phones,155.54
40,Example Kid,Clothing,Kids,116.61
41,Girl Kitchen,Home,Kitchen,319.35
42,Five Furniture,Home,Furniture,309.14
43,Pass Laptop,Electronics,Laptops,292.42
44,Several Kid,Clothing,Kids,283.99
45,Page Phone,Electronics,Phones,322.52
46,Activity Furniture,Home,Furniture,211.21
47,Every Camera,Electronics,Cameras,275.06
48,Ready Garden,Home,Garden,404.64
49,Here Comic,Books,Comics,345.86
50,Room Footwear,Clothing,Footwear,234.9
51,Eat Furniture,Home,Furniture,360.59
52,Assume Garden,Home,Garden,188.42
53,Region Accessorie,Electronics,Accessories,65.65
54,By Non-Fiction,Books,Non-Fiction,30.05
55,Make Education,Books,Education,433.33
56,Food Kid,Clothing,Kids,361.96
57,Collection Women,Clothing,Women,259.79
58,Into Comic,Books,Comics,49.57
59,Rich Education,Books,Education,111.5
60,Morning Kitchen,Home,Kitchen,249.97
61,Wind Comic,Books,Comics,424.35
62,Want Non-Fiction,Books,Non-Fiction,365.12
63,View Comic,Books,Comics,30.32
64,Score Kid,Clothing,Kids,41.4
65,Speech Comic,Books,Comics,313.5
66,Foreign Laptop,Electronics,Laptops,199.98
67,Road Decor,Home,Decor,103.53
68,Buy Fiction,Books,Fiction,72.83
69,Purpose Garden,Home,Garden,78.73
70,Whom Kid,Clothing,Kids,162.67
71,Yeah Comic,Books,Comics,256.12
72,Find Comic,Books,Comics,13.24
73,Hold Kitchen,Home,Kitchen,293.93
74,Possible Camera,Electronics,Cameras,329.52
75,Do Men,Clothing,Men,89.4
76,Discuss Non-Fiction,Books,Non-Fiction,124.89
77,Cell Laptop,Electronics,Laptops,160.28
78,Mean Footwear,Clothing,Footwear,208.14
79,Claim Fiction,Books,Fiction,261.75
80,Look Garden,Home,Garden,160.31
81,Small Footwear,Clothing,Footwear,174.45
82,Police Decor,Home,Decor,100.17
83,Hour Kid,Clothing,Kids,116.31
84,Just Decor,Home,Decor,346.67
85,Science Comic,Books,Comics,282.44
86,Often Decor,Home,Decor,339.93
87,While Education,Books,Education,477.53
88,Market Kid,Clothing,Kids,477.88
89,Sometimes Accessorie,Electronics,Accessories,329.71
90,Note Non-Fiction,Books,Non-Fiction,271.6
91,Suffer Furniture,Home,Furniture,371.74
92,Red Women,Clothing,Women,453.07
93,That Women,Clothing,Women,209.58
94,Discover Fiction,Books,Fiction,73.05
95,Sound Footwear,Clothing,Footwear,440.92
96,End Education,Books,Education,379.18
97,Response Decor,Home,Decor,34.29
98,Somebody Laptop,Electronics,Laptops,362.94
99,Pick Laptop,Electronics,Laptops,419.61
100,Tv Camera,Electronics,Cameras,97.22
101,Store Kitchen,Home,Kitchen,286.14
102,Beat Accessorie,Electronics,Accessories,494.6
103,Never Non-Fiction,Books,Non-Fiction,236.67
104,Likely Men,Clothing,Men,366.9
105,News Furniture,Home,Furniture,171.87
106,Score Furniture,Home,Furniture,428.79
107,High Education,Books,Education,47.94
108,Bank Laptop,Electronics,Laptops,241.34
109,Whose Men,Clothing,Men,121.58
110,Organization Decor,Home,Decor,362.83
111,Brother Accessorie,Electronics,Accessories,347.92
112,Assume Phone,Electronics,Phones,84.06
113,Them Kitchen,Home,Kitchen,470.61
114,Officer Furniture,Home,Furniture,71.12
115,Weight Footwear,Clothing,Footwear,304.84
116,Mouth Education,Books,Education,401.99
117,Degree Women,Clothing,Women,299.93
118,Page Camera,Electronics,Cameras,184.08
119,Not Phone,Electronics,Phones,451.93
120,Citizen Women,Clothing,Women,427.97
121,Community Fiction,Books,Fiction,359.87
122,Generation Fiction,Books,Fiction,225.51
123,Too Camera,Electronics,Cameras,210.64
124,Nature Camera,Electronics,Cameras,157.54
125,Letter Camera,Electronics,Cameras,6.49
126,But Men,Clothing,Men,175.54
127,Response Phone,Electronics,Phones,39.16
128,Describe Fiction,Books,Fiction,94.09
129,Series Footwear,Clothing,Footwear,446.21
130,Past Education,Books,Education,342.95
131,Middle Kid,Clothing,Kids,496.46
132,Benefit Non-Fiction,Books,Non-Fiction,115.23
133,Way Phone,Electronics,Phones,234.19
134,Mrs Education,Books,Education,127.52
135,Like Furniture,Home,Furniture,469.02
136,Table Phone,Electronics,Phones,212.52
137,Around Laptop,Electronics,Laptops,54.94
138,Long Camera,Electronics,Cameras,353.13
139,Cause Laptop,Electronics,Laptops,204.12
140,Must Women,Clothing,Women,389.15
141,Just Kid,Clothing,Kids,458.62
142,Loss Decor,Home,Decor,438.75
143,Organization Footwear,Clothing,Footwear,35.17
144,Article Footwear,Clothing,Footwear,28.21
145,Operation Garden,Home,Garden,162.77
146,Maintain Education,Books,Education,191.35
147,Remember Non-Fiction,Books,Non-Fiction,153.86
148,Surface Footwear,Clothing,Footwear,283.38
149,Foot Non-Fiction,Books,Non-Fiction,131.22
150,Several Kitchen,Home,Kitchen,424.33
151,Age Laptop,Electronics,Laptops,191.7
152,Individual Phone,Electronics,Phones,382.04
153,Environmental Footwear,Clothing,Footwear,453.98
154,Technology Kitchen,Home,Kitchen,99.06
155,About Camera,Electronics,Cameras,349.34
156,Skill Footwear,Clothing,Footwear,278.28
157,Discover Garden,Home,Garden,326.12
158,Particular Decor,Home,Decor,441.99
159,Baby Fiction,Books,Fiction,362.59
160,Answer Furniture,Home,Furniture,209.9
161,Land Women,Clothing,Women,278.89
162,Guy Comic,Books,Comics,168.28
163,School Non-Fiction,Books,Non-Fiction,329.03
164,Attack Decor,Home,Decor,246.87
165,Number Education,Books,Education,398.51
166,As Women,Clothing,Women,246.72
167,Worry Phone,Electronics,Phones,41.79
168,Wall Phone,Electronics,Phones,422.06
169,Authority Men,Clothing,Men,9.53
170,World Comic,Books,Comics,320.68
171,Marriage Education,Books,Education,268.45
172,Almost Fiction,Books,Fiction,362.49
173,Few Kitchen,Home,Kitchen,350.44
174,Issue Non-Fiction,Books,Non-Fiction,52.68
175,Couple Women,Clothing,Women,265.6
176,Specific Decor,Home,Decor,44.11
177,Central Education,Books,Education,495.17
178,Space Kid,Clothing,Kids,424.69
179,Put Phone,Electronics,Phones,191.7
180,Shoulder Fiction,Books,Fiction,352.91
181,Race Camera,Electronics,Cameras,324.23
182,Kitchen Kitchen,Home,Kitchen,459.98
183,House Women,Clothing,Women,347.68
184,Vote Comic,Books,Comics,41.8
185,Idea Kitchen,Home,Kitchen,425.96
186,List Laptop,Electronics,Laptops,377.37
187,True Fiction,Books,Fiction,284.16
188,Whose Comic,Books,Comics,371.17
189,What Accessorie,Electronics,Accessories,221.36
190,Huge Accessorie,Electronics,Accessories,308.86
191,How Comic,Books,Comics,140.3
192,Be Education,Books,Education,278.75
193,Result Education,Books,Education,295.01
194,Recently Fiction,Books,Fiction,151.21
195,Two Men,Clothing,Men,81.34
196,Notice Footwear,Clothing,Footwear,57.74
197,Cell Accessorie,Electronics,Accessories,381.87
198,Ready Laptop,Electronics,Laptops,218.33
