cohort_month,cohort_size,month_index,active_customers,retention_%
2024-01,14,0,1,7.14
2024-01,14,1,2,14.29
2024-01,14,2,1,7.14
2024-01,14,3,1,7.14
2024-03,19,2,1,5.26
2024-03,19,3,1,5.26
2024-04,15,1,1,6.67
2024-04,15,2,1,6.67
2024-05,12,3,1,8.33
2024-06,23,0,1,4.35
2024-06,23,1,1,4.35
2024-07,14,1,1,7.14
2024-08,22,2,1,4.55
2024-08,22,3,1,4.55
2024-09,10,3,1,10.0
2024-11,13,0,1,7.69
2024-11,13,1,1,7.69
2024-11,13,2,2,15.38
2024-12,14,0,2,14.29
2024-12,14,2,1,7.14
2025-01,19,0,1,5.26
2025-01,19,1,1,5.26
2025-01,19,2,1,5.26
2025-01,19,3,1,5.26
2025-02,18,1,1,5.56
2025-02,18,2,1,5.56
2025-02,18,3,1,5.56
2025-03,22,0,1,4.55
2025-04,18,0,1,5.56
2025-04,18,1,1,5.56
2025-04,18,2,1,5.56
2025-04,18,3,1,5.56
2025-05,11,0,1,9.09
2025-05,11,1,1,9.09
2025-05,11,2,1,9.09
2025-07,12,0,1,8.33
2025-07,12,2,1,8.33
2025-08,20,0,2,10.0
2025-08,20,2,2,10.0
2025-09,13,3,1,7.69
2025-10,19,2,1,5.26
2025-10,19,3,1,5.26
2025-11,17,0,1,5.88
2025-11,17,3,2,11.76
2026-01,22,0,1,4.55
2026-01,22,1,1,4.55
2026-04,17,0,1,5.88
2026-04,17,2,2,11.76
2026-05,21,1,1,4.76
2026-05,21,2,1,4.76
2026-07,11,0,1,9.09
